City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mahebourg,75,MU,1545508800,83,-20.41,57.7,78.8,17.22
Chara,40,GR,1545504600,100,39.42,22.43,44.6,2.91
Katangli,20,RU,1545509694,100,51.71,143.23,10.3,5.26
Smirnykh,68,RU,1545509694,74,49.74,142.83,-3.43,1.9
Henties Bay,8,NA,1545509695,95,-22.12,14.28,62.5,4.47
Fairbanks,75,US,1545508560,74,64.84,-147.72,-5.81,2.8
Souillac,90,FR,1545507000,100,45.6,-0.6,55.4,2.24
Farafangana,92,MG,1545509695,100,-22.82,47.83,77.35,15.77
Ixtapa,5,MX,1545508020,42,20.71,-105.21,80.6,6.93
Avarua,75,CK,1545508800,74,-21.21,-159.78,84.2,6.93
Namibe,24,AO,1545509696,100,-15.19,12.15,72.04,4.14
Port-Cartier,90,CA,1545506340,93,50.03,-66.88,41.0,3.36
Guerrero Negro,0,MX,1545509696,56,27.97,-114.04,73.61,6.49
Husavik,92,CA,1545509696,95,50.56,-96.99,20.69,6.6
Kavaratti,0,IN,1545509696,100,10.57,72.64,82.75,5.14
Palmer,0,AU,1545507000,87,-34.85,139.16,50.0,3.69
Ljubinje,75,BA,1545507000,81,42.95,18.09,51.8,9.17
Nanortalik,88,GL,1545509757,93,60.14,-45.24,31.94,4.14
Jiangyan,92,CN,1545509757,98,32.51,120.12,45.35,11.63
Nantucket,90,US,1545508740,83,41.28,-70.1,48.02,11.41
Coihaique,75,CL,1545508800,44,-45.58,-72.07,62.6,6.93
Yining,64,CN,1545509757,100,29.04,114.56,44.77,2.46
Cibitoke,92,BI,1545509757,100,-2.89,29.12,59.89,0.34
Abu Dhabi,40,AE,1545508800,56,24.47,54.37,69.8,13.87
Mundo Nuevo,40,CL,1545508800,72,-32.72,-71.41,66.2,8.05
Ribeira Grande,90,PT,1545507000,93,38.52,-28.7,57.2,5.82
Biak,48,ID,1545509758,100,-0.91,122.88,74.2,3.24
Nara,75,JP,1545508800,100,34.68,135.8,51.8,3.36
Kulevcha,80,UA,1545509758,100,46.03,29.93,36.67,10.96
Champerico,5,MX,1545507780,36,16.38,-93.6,78.8,8.05
Bereda,0,ES,1545507000,87,43.27,-7.54,55.4,5.82
Bilibino,32,RU,1545509759,0,68.06,166.44,-41.37,2.24
Loandjili,40,CG,1545505200,88,-4.77,11.87,80.6,8.05
Plouzane,90,FR,1545507000,100,48.38,-4.62,51.8,9.17
Bafia,0,CM,1545509759,57,4.74,11.22,71.45,3.24
Dergachi,88,RU,1545509759,88,51.24,48.77,10.25,9.73
Poum,76,MK,1545509759,100,41.28,20.71,30.19,1.9
Souris,90,CA,1545508080,100,46.36,-62.25,48.2,14.99
Cockburn Town,20,TC,1545509759,100,21.46,-71.14,80.5,6.93
Mbengwi,0,CM,1545509760,66,6.0,10.01,55.84,2.57
Sabang,92,PH,1545509760,100,13.72,123.58,75.59,11.74
Chulman,56,RU,1545509760,53,56.84,124.9,-12.34,8.05
Crotone,90,IT,1545504900,100,39.09,17.12,33.8,6.93
Goderich,64,CA,1545509760,83,43.74,-81.71,30.55,14.76
Portland,90,US,1545508380,67,45.52,-122.67,44.06,20.8
Yunhe,92,CN,1545509761,99,28.12,119.57,54.22,2.13
Bathsheba,40,BB,1545508800,65,13.22,-59.52,82.4,18.34
Deputatskiy,20,RU,1545509761,0,69.3,139.9,-41.14,2.91
Cayenne,88,GF,1545508800,88,4.94,-52.33,78.8,8.05
Itarema,56,BR,1545509762,72,-2.92,-39.92,82.7,11.97
Khandbari,0,NP,1545509762,31,27.38,87.21,16.87,1.34
Cangzhou,64,CN,1545509762,56,38.3,116.85,24.79,15.77
Holme,75,GB,1545508200,81,53.7,-2.31,46.4,5.82
Ipueiras,80,BR,1545509762,34,-6.66,-37.55,87.88,5.03
Iqaluit,90,CA,1545507000,70,63.75,-68.52,-5.81,31.09
Leh,12,IN,1545509763,0,34.16,77.58,-43.3,1.57
Cartagena del Chaira,36,CO,1545509763,62,1.33,-74.84,84.77,2.8
Marawi,80,PH,1545509763,100,8.0,124.29,68.08,1.68
Danville,1,US,1545510000,43,36.59,-79.4,53.06,11.41
Virginia Beach,20,US,1545508560,45,36.85,-75.98,56.12,10.29
Healdsburg,1,US,1545508500,81,38.61,-122.87,51.8,5.48
Santa Vitoria do Palmar,88,BR,1545509764,97,-33.52,-53.37,68.8,10.74
Hualmay,32,PE,1545509764,67,-11.1,-77.61,75.82,6.04
Palana,24,RU,1545509764,80,59.08,159.95,5.75,2.13
Hamilton,90,CA,1545507060,80,43.26,-79.87,33.8,19.46
Paidha,12,UG,1545509765,76,2.42,30.99,66.86,2.91
Sonari,0,IN,1545509765,87,27.03,95.02,51.2,1.01
Gurmatkal,8,IN,1545509765,77,16.87,77.4,71.59,8.16
Necochea,0,AR,1545509765,68,-38.55,-58.74,78.52,4.92
Adwa,0,ET,1545509766,84,14.16,38.9,42.7,2.68
Jambi,80,ID,1545509766,98,-1.6,103.62,74.69,2.91
Ust-Kuyga,24,RU,1545509766,0,70.0,135.55,-43.12,3.13
Severo-Kurilsk,0,RU,1545509766,100,50.68,156.12,23.35,4.36
Ambon,90,FR,1545507000,100,47.55,-2.56,53.6,4.7
Altay,0,CN,1545509848,40,47.83,88.13,-29.98,2.01
Puerto Escondido,20,MX,1545507660,69,15.86,-97.07,82.4,11.41
Kogon,90,UZ,1545508800,100,39.73,64.54,30.2,4.7
Cap Malheureux,75,MU,1545508800,83,-19.98,57.61,78.8,17.22
Kavieng,92,PG,1545509827,100,-2.57,150.8,81.94,4.14
Katobu,76,ID,1545509827,93,-4.94,122.53,83.02,10.96
Half Moon Bay,1,US,1545508800,38,37.46,-122.43,59.0,8.05
Manado,40,ID,1545508800,100,1.49,124.85,75.2,2.24
Sao Felix do Xingu,0,BR,1545509828,88,-6.64,-51.99,76.85,2.46
Ewa Beach,1,US,1545508620,64,21.32,-158.01,80.06,6.93
Kalamazoo,90,US,1545508560,74,42.29,-85.59,33.08,5.82
College,75,US,1545508560,74,64.86,-147.8,-5.81,2.8
Ferme-Neuve,88,CA,1545509828,69,46.7,-75.45,24.88,11.3
Mayo,5,CA,1545505200,67,63.59,-135.9,-23.81,3.36
La Paz,75,MX,1545507600,26,24.15,-110.32,82.4,3.91
San Patricio,44,PY,1545509829,87,-26.98,-56.83,78.7,3.69
Muisne,40,EC,1545508800,83,0.61,-80.02,82.4,4.7
Amahai,76,ID,1545509829,100,-3.31,129.0,77.8,5.03
Khatanga,48,RU,1545509829,81,71.98,102.47,-18.51,17.22
Shakawe,24,BW,1545509829,37,-18.36,21.84,80.0,7.05
Taoudenni,0,ML,1545509829,33,22.68,-3.98,59.3,12.19
Neuquen,0,AR,1545508800,10,-38.95,-68.06,93.2,6.93
Chuy,88,UY,1545509830,97,-33.69,-53.46,68.8,10.74
Umm Lajj,8,SA,1545509830,100,25.02,37.27,64.93,7.94
Broken Hill,0,AU,1545508800,41,-31.97,141.45,60.8,11.41
Anchorage,20,US,1545508560,99,61.22,-149.89,21.92,3.36
Lavrentiya,64,RU,1545509830,100,65.58,-170.99,6.2,14.2
Maues,48,BR,1545509830,87,-3.38,-57.72,81.44,3.36
Storforshei,0,NO,1545508200,78,66.4,14.52,8.6,1.12
Doha,1,QA,1545508560,53,25.29,51.53,66.2,14.99
Gao,0,ML,1545509831,40,16.28,-0.04,65.69,9.28
La Ronge,75,CA,1545505200,78,55.1,-105.3,10.4,13.87
Tbilisskaya,80,RU,1545509831,96,45.36,40.19,39.32,10.29
Waitati,0,NZ,1545509579,87,-45.75,170.57,51.11,3.91
Lishu,0,CN,1545509831,44,43.31,124.32,4.67,6.15
Bradford,40,GB,1545508200,93,53.79,-1.75,46.4,10.29
Tuatapere,0,NZ,1545509832,100,-46.13,167.69,52.91,4.14
Bandarbeyla,100,SO,1545509832,100,9.49,50.81,73.79,20.02
Pleshanovo,92,RU,1545508800,92,57.46,28.17,24.8,6.71
Hohhot,0,CN,1545508800,41,40.81,111.65,1.4,2.24
Les Cayes,36,HT,1545509832,95,18.19,-73.75,81.85,7.72
Esmeralda,8,CL,1545509832,57,-34.33,-70.9,75.37,2.68
Babu,80,CN,1545509832,91,23.23,104.89,50.75,2.68
Costinesti,0,RO,1545507000,80,43.95,28.63,39.2,14.99
Chunoyar,56,RU,1545509833,66,57.45,97.32,5.21,5.37
Flinders,90,AU,1545509220,93,-34.58,150.85,57.2,2.24
Kenai,1,US,1545508560,78,60.55,-151.26,28.94,18.34
Aktau,20,KZ,1545508800,85,43.65,51.16,15.8,11.18
Yoichi,36,JP,1545509833,100,43.19,140.77,26.27,4.03
Krasnohrad,92,UA,1545509833,97,49.38,35.45,34.64,10.74
Fez,0,MA,1545507000,76,34.03,-5.02,55.4,4.7
Dong Xoai,8,VN,1545509834,94,11.53,106.92,70.91,1.9
Grindavik,75,IS,1545508800,100,63.84,-22.43,35.6,2.24
Port Hawkesbury,90,CA,1545507060,100,45.62,-61.36,51.8,21.92
Margate,75,AU,1545508800,54,-43.03,147.26,59.0,9.17
Sao Gabriel da Cachoeira,40,BR,1545505200,70,-0.13,-67.09,84.2,3.36
Riyadh,0,SA,1545508800,54,24.63,46.72,53.6,3.36
Lieksa,76,FI,1545509834,73,63.32,30.02,5.8,4.36
Pokhara,0,NP,1545509708,66,28.21,83.99,30.64,2.13
Nambiyur,20,IN,1545508800,78,11.36,77.32,75.2,4.7
Lagos,0,NG,1545509779,81,6.46,3.39,79.78,8.16
Tara,75,JP,1545505200,93,33.0,130.15,53.6,2.24
Sola,90,FI,1545508200,84,62.78,29.36,8.6,4.7
Ostrovskoye,88,RU,1545509895,88,57.81,42.24,11.74,11.52
Teya,20,MX,1545508140,31,21.05,-89.07,78.8,4.7
Ayr,40,GB,1545508200,87,55.46,-4.63,46.4,9.17
Ouegoa,48,NC,1545509896,99,-20.34,164.44,77.17,2.8
Neka,0,IR,1545508800,93,36.65,53.3,46.4,2.46
Opuwo,36,NA,1545509896,94,-18.06,13.84,63.89,2.24
Rome,75,IT,1545508200,93,41.89,12.48,59.0,8.05
Tucuru,8,GT,1545509896,53,15.3,-90.07,71.0,2.57
Palang,88,ID,1545509896,97,-6.91,112.13,72.62,4.7
Zhezkazgan,0,KZ,1545509896,46,47.8,67.71,-15.94,3.91
Lebork,40,PL,1545508800,99,54.54,17.75,33.8,14.99
Coquimbo,20,CL,1545508800,64,-29.95,-71.34,68.0,12.75
Lagoa,0,PT,1545507000,71,37.14,-8.45,57.2,5.82
Karratha,0,AU,1545509897,57,-20.74,116.85,75.73,11.97
Comodoro Rivadavia,0,AR,1545508800,55,-45.87,-67.48,80.6,29.97
Kadoma,0,ZW,1545509897,56,-18.34,29.91,74.06,10.63
Hauterive,75,FR,1545507000,93,46.09,3.45,51.8,2.24
Muravlenko,0,RU,1545509898,66,63.79,74.5,-35.02,4.14
Liverpool,40,GB,1545508200,81,53.41,-2.98,46.4,6.93
Ruteng,32,ID,1545509898,99,-8.61,120.46,71.09,3.13
Juneau,90,US,1545508560,100,58.3,-134.42,33.98,2.68
Cidreira,20,BR,1545509899,79,-30.17,-50.22,78.52,7.16
Garoua Boulai,0,CM,1545509899,42,5.88,14.55,64.61,7.94
Kalemie,76,CD,1545509899,100,-5.95,29.2,72.62,3.47
Maningrida,0,AU,1545509899,89,-12.05,134.23,82.34,4.47
Kukuna,20,SL,1545509899,46,8.64,-12.57,81.17,4.81
Ambulu,92,ID,1545509899,100,-8.35,113.61,76.31,3.47
Nuuk,88,GL,1545508200,94,64.17,-51.74,33.8,42.5
Gwadar,0,PK,1545509900,99,25.12,62.33,63.62,2.35
Razole,12,IN,1545509900,100,16.48,81.84,76.72,14.65
Belluno,0,IT,1545508200,100,46.14,12.22,35.6,1.12
Zaragoza,0,ES,1545507000,71,41.65,-0.88,55.4,9.17
Irupi,12,BR,1545509900,92,-20.35,-41.64,73.25,2.01
Biltine,8,TD,1545509900,25,14.53,20.93,62.32,13.76
Paamiut,92,GL,1545509901,92,61.99,-49.67,33.7,35.34
Chifeng,0,CN,1545509901,22,42.27,118.96,6.92,10.18
Tricase,75,IT,1545504900,87,39.93,18.36,53.6,6.93
Kampot,20,KH,1545508800,94,10.62,104.18,77.0,1.12
Nisia Floresta,40,BR,1545508800,70,-6.09,-35.21,84.2,18.34
Nouadhibou,48,MR,1545505200,35,20.93,-17.03,73.4,10.29
Uspenka,88,UA,1545509901,94,48.39,39.16,29.38,8.72
Naliya,0,IN,1545509902,77,23.26,68.83,43.87,2.68
Ararat,0,AU,1545509902,84,-37.28,142.93,51.34,4.03
Sambava,100,MG,1545509902,100,-14.27,50.17,77.84,4.14
Vostok,88,RU,1545509902,83,46.45,135.83,18.67,5.03
Saint-Pierre,40,FR,1545507000,93,48.95,4.24,50.0,11.41
Vao,88,EE,1545509903,91,59.1,26.19,21.28,5.93
Salalah,0,OM,1545508200,40,17.01,54.1,71.6,3.36
Bilma,36,NE,1545509903,51,18.69,12.92,51.92,4.7
Aykhal,12,RU,1545509903,0,65.95,111.51,-50.46,2.68
Samarai,44,PG,1545509903,100,-10.62,150.67,82.3,3.36
Promyshlennyy,48,RU,1545509903,65,67.58,63.92,-14.41,13.53
Rawson,0,AR,1545509903,21,-43.3,-65.11,90.17,14.65
Golynki,92,RU,1545509904,91,54.87,31.38,29.6,17.45
Kruisfontein,64,ZA,1545509904,94,-34.0,24.73,66.28,7.38
Kahului,20,US,1545508560,56,20.89,-156.47,80.06,24.16
Thinadhoo,0,MV,1545509829,100,0.53,72.93,81.94,7.16
Kifri,0,IQ,1545509964,81,34.69,44.96,34.15,1.79
Kaeo,92,NZ,1545509964,96,-35.1,173.78,69.11,8.28
Teguldet,68,RU,1545509964,66,57.31,88.17,2.87,5.7
Gravdal,75,NO,1545508200,100,59.79,5.78,35.6,4.7
Camacha,20,PT,1545507000,77,33.08,-16.33,64.4,8.05
Misratah,0,LY,1545509965,100,32.38,15.09,56.24,9.73
Ginir,8,ET,1545509965,64,7.14,40.71,56.74,2.68
Worland,90,US,1545507300,40,44.02,-107.96,30.02,5.82
Daru,20,SL,1545509965,62,7.99,-10.85,77.12,3.69
Mahajanga,40,MG,1545508800,79,-15.72,46.32,84.2,6.93
Buchanan,20,LR,1545508800,88,5.88,-10.05,80.6,8.61
Sironj,0,IN,1545509966,77,24.1,77.69,43.87,3.69
Fare,12,PF,1545509966,95,-16.7,-151.02,84.5,17.78
Merauke,36,ID,1545509966,100,-8.49,140.4,75.41,9.06
Oranjemund,8,ZA,1545509966,94,-28.55,16.43,63.85,15.21
Prince Rupert,40,CA,1545505200,56,54.32,-130.32,41.0,9.17
Tecoanapa,5,MX,1545507780,62,16.99,-99.26,84.2,8.05
Agogo,24,GH,1545509966,70,6.8,-1.08,78.07,6.26
Kanigoro,80,ID,1545509966,100,-8.13,112.22,77.21,2.24
Aleksandrovskoye,75,RU,1545508800,77,56.74,85.39,1.4,4.47
Bima,56,ID,1545509967,100,-8.45,118.73,74.74,2.91
Milkovo,90,BG,1545507000,78,41.53,24.68,41.0,4.7
Tautira,20,PF,1545508800,62,-17.73,-149.15,87.8,4.7
Poltavka,68,RU,1545509967,79,54.36,71.76,4.67,3.13
Sao Filipe,92,CV,1545509967,90,14.9,-24.5,76.09,10.85
Vidim,75,CZ,1545507000,87,50.47,14.53,44.6,13.87
Saint-Joseph,0,FR,1545507000,72,43.56,6.97,59.0,16.11
Ornskoldsvik,88,SE,1545508200,85,63.29,18.72,19.4,6.93
Labuhan,8,ID,1545509968,97,-2.54,115.51,71.77,2.24
Deloraine,56,CA,1545509968,92,49.18,-100.5,20.96,14.65
Eirunepe,56,BR,1545509969,82,-6.66,-69.87,78.11,3.69
Kenitra,0,MA,1545508800,93,34.26,-6.57,51.8,3.69
Barabai,12,ID,1545509969,97,-2.59,115.38,73.97,2.24
Carbonia,40,IT,1545508200,82,39.17,8.53,57.2,8.05
Cabra,0,ES,1545507000,81,37.47,-4.43,50.0,2.24
Vila Franca do Campo,75,PT,1545507000,93,37.72,-25.43,62.6,9.17
Okhotsk,88,RU,1545509969,100,59.36,143.24,4.04,5.82
The Valley,40,AI,1545508800,74,18.22,-63.06,82.4,13.87
Am Timan,12,TD,1545509970,36,11.04,20.28,64.48,6.26
Batagay,8,RU,1545509970,0,67.65,134.64,-54.51,2.68
Kieta,92,PG,1545509970,100,-6.22,155.63,75.95,4.92
Sao Joao da Barra,0,BR,1545505200,55,-21.64,-41.05,87.8,18.34
Juventino Rosas,5,MX,1545508080,11,20.64,-101.0,71.6,5.82
Barcelona,0,ES,1545507000,71,41.38,2.18,55.4,8.05
Kamina,92,CD,1545509971,97,-8.74,25.0,66.55,4.7
Santa Ana,0,SV,1545508200,32,13.99,-89.56,82.4,4.7
Victoria,75,BN,1545508800,94,5.28,115.24,77.0,3.13
Socorro,100,PH,1545509971,100,13.06,121.41,71.0,4.36
Gizo,20,IL,1545508200,76,31.8,34.94,59.0,3.36
Eureka,1,US,1545508500,100,40.8,-124.16,46.04,6.93
Alamos,80,AR,1545509972,24,-36.9,-62.36,89.95,8.16
Northam,20,GB,1545508200,87,51.04,-4.21,48.2,8.05
Port Lincoln,0,AU,1545509972,98,-34.72,135.86,59.84,8.39
Lubango,44,AO,1545509972,83,-14.92,13.49,67.31,1.23
North Platte,90,US,1545504780,64,41.12,-100.77,37.94,12.75
Pangody,0,RU,1545509973,78,65.85,74.49,-37.86,4.7
Serebryansk,12,KZ,1545509973,47,49.68,83.3,-17.65,2.01
Griffith,0,AU,1545508800,58,-34.29,146.06,62.6,8.05
Ugoofaaru,36,MV,1545509973,100,5.67,73.0,82.34,6.71
Leshukonskoye,44,RU,1545510033,72,64.9,45.76,1.12,4.59
Caravelas,0,BR,1545510033,100,-17.73,-39.27,80.59,22.7
Sept-Iles,90,CA,1545506340,93,50.2,-66.38,41.0,3.36
Verkhnevilyuysk,32,RU,1545510034,35,63.45,120.31,-23.46,6.71
Tongzhou,88,CN,1545510034,100,32.07,121.07,49.31,19.01
Qasigiannguit,90,GL,1545508200,92,68.82,-51.19,21.2,3.36
Yar-Sale,0,RU,1545510034,52,66.83,70.83,-30.52,12.75
Lebanon,90,US,1545509700,71,43.64,-72.25,41.0,14.99
Bagdarin,8,RU,1545510034,53,54.44,113.59,-21.21,2.57
Mumbwa,20,ZM,1545510035,92,-14.99,27.06,66.19,7.94
Isangel,32,VU,1545510035,100,-19.55,169.27,79.01,9.84
Monte Aprazivel,40,BR,1545505200,34,-20.77,-49.71,93.2,8.05
Boulder City,1,US,1545508560,29,35.98,-114.83,60.8,3.36
Sinnamary,92,GF,1545510035,94,5.38,-52.96,79.82,11.3
Havoysund,56,NO,1545508200,92,71.0,24.66,30.2,18.34
Ulladulla,90,AU,1545509220,93,-35.36,150.48,57.2,2.24
Dongli,75,CN,1545508800,88,24.18,117.61,68.0,2.24
Bonavista,88,CA,1545510036,90,48.65,-53.11,36.49,23.04
Pachino,0,IT,1545504600,100,36.72,15.09,44.6,2.24
Alenquer,20,BR,1545508800,88,-1.95,-54.74,80.6,6.93
Araouane,0,ML,1545510036,27,18.9,-3.53,60.2,11.3
Vardo,90,US,1545508500,59,39.62,-77.74,46.4,10.29
Monrovia,20,LR,1545508800,88,6.33,-10.8,80.6,7.27
Adre,0,TD,1545510037,22,13.47,22.2,62.45,12.97
Rorvik,0,NO,1545509811,100,64.86,11.24,20.87,9.84
Genhe,0,CN,1545510037,64,50.78,121.52,-10.54,12.19
Manaus,75,BR,1545508800,78,-3.13,-59.98,80.6,3.36
Saint-Francois,75,FR,1545507000,93,46.42,3.91,51.8,2.24
Hami,0,CN,1545510037,47,42.84,93.51,-8.97,0.89
